,mean_accuracy,AUC,sensitivity,specificity,precision,MPE
ground_truth_base_6_12_18_24_30.csv,0.81897628,0.7489371952493239,0.579957356,0.9179170344218888,0.7452054794520548,#NAME?
mptm_base_12_24_30.csv,0.8108614232209738,0.7744972943057434,0.651595745,0.8973988439306358,0.7753164556962026,#NAME?
mptm_base_6_12_18_24_30.csv,0.81897628,0.7489371952493239,0.579957356,0.9179170344218888,0.7452054794520548,#NAME?
spm_base_12_24_30.csv,0.8108614232209738,0.7744972943057434,0.651595745,0.8973988439306358,0.7753164556962026,#NAME?
spm_base_6_12_18_24_30.csv,0.81897628,0.7489371952493239,0.579957356,0.9179170344218888,0.7452054794520548,#NAME?
ground_truth_base_6_12_18.csv,0.8614232209737828,0.5939007440111193,0.20987654320987653,0.977924945,0.6296296296296297,#NAME?
mptm_base_6_12_18.csv,0.8614232209737828,0.5939007440111193,0.20987654320987653,0.977924945,0.6296296296296297,#NAME?
spm_base_6_12_18.csv,0.8614232209737828,0.5939007440111193,0.20987654320987653,0.977924945,0.6296296296296297,#NAME?
ground_truth_base_6_12_18_24.csv,0.8277153558052435,0.6801286037581018,0.4105960264900662,0.9496611810261375,0.7045454545454546,#NAME?
mptm_base_6_12_18_24.csv,0.8277153558052435,0.6801286037581018,0.4105960264900662,0.9496611810261375,0.7045454545454546,#NAME?
spm_base_6_12_18_24.csv,0.8277153558052435,0.6801286037581018,0.4105960264900662,0.9496611810261375,0.7045454545454546,#NAME?
ground_truth_base_12.csv,0.8820224719101124,0.5619915848527349,0.13043478260869565,0.9935483870967742,0.75,#NAME?
mptm_base_12.csv,0.8820224719101124,0.5619915848527349,0.13043478260869565,0.9935483870967742,0.75,#NAME?
spm_base_12.csv,0.8820224719101124,0.5619915848527349,0.13043478260869565,0.9935483870967742,0.75,#NAME?
ground_truth_base_12_24.csv,0.8239700374531835,0.7153029225397647,0.4880382775119617,0.9425675675675675,0.75,#NAME?
mptm_base_12_24.csv,0.8239700374531835,0.7153029225397647,0.4880382775119617,0.9425675675675675,0.75,#NAME?
spm_base_12_24.csv,0.8239700374531835,0.7153029225397647,0.4880382775119617,0.9425675675675675,0.75,#NAME?
ground_truth_base_12_24_30.csv,0.8108614232209738,0.7744972943057434,0.651595745,0.8973988439306358,0.7753164556962026,#NAME?
,,,,,,
,,,,,,
