,mean_accuracy,AUC,sensitivity,specificity,precision,MPE
ground_truth_base_6_12_18_24_30.csv,0.7215980024968789,0.5951217308991544,0.2899786780383795,0.9002647837599294,0.5461847389558233,#NAME?
mptm_base_12_24_30.csv,0.7097378277153558,0.6484903455909482,0.44148936170212766,0.8554913294797688,0.6240601503759399,#NAME?
mptm_base_6_12_18_24_30.csv,0.7215980024968789,0.5951217308991544,0.2899786780383795,0.9002647837599294,0.5461847389558233,#NAME?
spm_base_12_24_30.csv,0.7097378277153558,0.6484903455909482,0.44148936170212766,0.8554913294797688,0.6240601503759399,#NAME?
spm_base_6_12_18_24_30.csv,0.7215980024968789,0.5951217308991544,0.2899786780383795,0.9002647837599294,0.5461847389558233,#NAME?
ground_truth_base_6_12_18.csv,0.8455056179775281,0.5008789142343226,0.00617284,0.9955849889624724,0.2,#NAME?
mptm_base_6_12_18.csv,0.8455056179775281,0.5008789142343226,0.00617284,0.9955849889624724,0.2,#NAME?
spm_base_6_12_18.csv,0.8455056179775281,0.5008789142343226,0.00617284,0.9955849889624724,0.2,#NAME?
ground_truth_base_6_12_18_24.csv,0.7685393258426966,0.5376178814357976,0.11589403973509933,0.9593417231364957,0.45454545454545453,#NAME?
mptm_base_6_12_18_24.csv,0.7685393258426966,0.5376178814357976,0.11589403973509933,0.9593417231364957,0.45454545454545453,#NAME?
spm_base_6_12_18_24.csv,0.7685393258426966,0.5376178814357976,0.11589403973509933,0.9593417231364957,0.45454545454545453,#NAME?
ground_truth_base_12.csv,0.8707865168539326,0.5,0,1,0,1
mptm_base_12.csv,0.8707865168539326,0.5,0,1,0,1
spm_base_12.csv,0.8707865168539326,0.5,0,1,0,1
ground_truth_base_12_24.csv,0.7403245942571786,0.5581113410060778,0.17703349282296652,0.9391891891891891,0.5068493150684932,#NAME?
mptm_base_12_24.csv,0.7403245942571786,0.5581113410060778,0.17703349282296652,0.9391891891891891,0.5068493150684932,#NAME?
spm_base_12_24.csv,0.7403245942571786,0.5581113410060778,0.17703349282296652,0.9391891891891891,0.5068493150684932,#NAME?
ground_truth_base_12_24_30.csv,0.7097378277153558,0.6484903455909482,0.44148936170212766,0.8554913294797688,0.6240601503759399,#NAME?
,,,,,,
,,,,,,
